aqi,city,co,lat,lon,nh3,no,no2,pm10,pm2_5,so2,timestamp_utc
5,Milan,3578.19,45.464,9.19,11.4,175.24,50.72,128.26,123.02,6.74,2023-12-10 21:00:00
5,Milan,3524.78,45.464,9.19,13.17,169.87,50.04,132.12,126.13,6.44,2023-12-10 22:00:00
5,Milan,2777.1,45.464,9.19,7.09,119.81,43.87,105.06,100.17,2.89,2023-12-10 23:00:00
4,Milan,2029.42,45.464,9.19,3.83,68.84,40.44,76.96,73.67,1.34,2023-12-11 00:00:00
4,Milan,1562.12,45.464,9.19,3.1,35.32,42.5,59.13,56.89,0.97,2023-12-11 01:00:00
4,Milan,1415.25,45.464,9.19,3.55,23.02,45.24,54.21,52.05,0.97,2023-12-11 02:00:00
4,Milan,1375.2,45.464,9.19,4.37,17.43,46.61,54.42,51.97,0.98,2023-12-11 03:00:00
4,Milan,1348.5,45.464,9.19,4.12,13.52,46.61,59.52,57.1,1.04,2023-12-11 04:00:00
4,Milan,1388.55,45.464,9.19,3.48,14.75,46.61,66.54,64.24,1.27,2023-12-11 05:00:00
4,Milan,1588.82,45.464,9.19,4.31,25.93,47.98,74.95,72.59,2,2023-12-11 06:00:00
4,Milan,1628.88,45.464,9.19,4.69,29.5,47.3,75.1,73.24,2.41,2023-12-11 07:00:00
4,Milan,1682.28,45.464,9.19,5.07,36.66,47.98,75.75,73.77,2.8,2023-12-11 08:00:00
4,Milan,1762.39,45.464,9.19,5.38,43.81,46.61,76.39,74.34,3.04,2023-12-11 09:00:00
4,Milan,1655.58,45.464,9.19,4.94,41.57,43.87,69.25,67.34,2.83,2023-12-11 10:00:00
4,Milan,1482.01,45.464,9.19,4.31,34.42,42.84,59.51,57.6,2.56,2023-12-11 11:00:00
4,Milan,1388.55,45.464,9.19,3.96,29.5,45.93,54.1,52.03,2.56,2023-12-11 12:00:00
4,Milan,1468.66,45.464,9.19,4.37,32.63,48.67,55.83,53.28,2.8,2023-12-11 13:00:00
4,Milan,1455.31,45.464,9.19,4.43,34.42,46.61,54.58,51.76,2.68,2023-12-11 14:00:00
3,Milan,1295.09,45.464,9.19,4.24,29.95,43.87,47.91,45.06,2.29,2023-12-11 15:00:00
4,Milan,1495.36,45.464,9.19,4.69,49.62,41.47,54.01,50.68,2.8,2023-12-11 16:00:00
4,Milan,2082.82,45.464,9.19,6.27,92.98,42.16,74.32,70.34,3.93,2023-12-11 17:00:00
5,Milan,2857.21,45.464,9.19,8.74,143.05,44.55,101.29,97.44,5.6,2023-12-11 18:00:00
5,Milan,3898.62,45.464,9.19,11.65,205.64,50.04,139.41,136.23,7.63,2023-12-11 19:00:00
5,Milan,4913.33,45.464,9.19,12.79,268.22,56.89,179.39,176.78,8.58,2023-12-11 20:00:00
5,Milan,5661.01,45.464,9.19,14.69,307.56,63.06,211.72,209.17,8.94,2023-12-11 21:00:00
5,Milan,5447.39,45.464,9.19,15.96,289.68,63.75,212.79,210.3,7.63,2023-12-11 22:00:00
5,Milan,5020.14,45.464,9.19,13.81,261.07,61.69,196.02,194.13,5.3,2023-12-11 23:00:00
5,Milan,5073.55,45.464,9.19,11.91,257.49,62.38,191.65,189.97,4.11,2023-12-12 00:00:00
5,Milan,5340.58,45.464,9.19,8.74,268.22,66.49,204.18,201.89,3.37,2023-12-12 01:00:00
5,Milan,5500.79,45.464,9.19,7.03,268.22,71.29,218.05,214.65,3.1,2023-12-12 02:00:00
5,Milan,5554.2,45.464,9.19,6.78,264.64,78.14,229.54,224.71,3.19,2023-12-12 03:00:00
5,Milan,5661.01,45.464,9.19,6.71,257.49,87.74,239.24,232.44,3.46,2023-12-12 04:00:00
5,Milan,6034.85,45.464,9.19,6.4,275.37,97.33,255.5,247.77,3.49,2023-12-12 05:00:00
5,Milan,6408.69,45.464,9.19,7.73,300.41,102.82,268.37,261,4.05,2023-12-12 06:00:00
5,Milan,5233.76,45.464,9.19,8.61,239.61,95.96,211.87,206.37,4.23,2023-12-12 07:00:00
5,Milan,4699.71,45.464,9.19,8.99,212.79,91.85,181.9,177.68,4.47,2023-12-12 08:00:00
5,Milan,4325.87,45.464,9.19,9.37,191.33,89.11,162.47,159.07,4.77,2023-12-12 09:00:00
5,Milan,3471.37,45.464,9.19,7.66,135.9,80.88,126.67,124.06,4.29,2023-12-12 10:00:00
5,Milan,2964.02,45.464,9.19,6.65,107.29,78.14,108.6,106.08,4.17,2023-12-12 11:00:00
5,Milan,3124.24,45.464,9.19,6.9,116.23,85.68,119.67,116.33,4.83,2023-12-12 12:00:00
5,Milan,3284.45,45.464,9.19,7.41,119.81,93.22,128.37,123.98,5.3,2023-12-12 13:00:00
5,Milan,3150.94,45.464,9.19,7.22,110.86,93.22,122.72,118.04,5.19,2023-12-12 14:00:00
5,Milan,2857.21,45.464,9.19,6.59,94.77,89.11,108.92,104.77,4.71,2023-12-12 15:00:00
5,Milan,2990.72,45.464,9.19,6.78,109.97,85,112.4,108.12,4.71,2023-12-12 16:00:00
5,Milan,3631.59,45.464,9.19,8.36,153.78,85,134.74,129.71,5.48,2023-12-12 17:00:00
5,Milan,4272.46,45.464,9.19,10.89,193.12,85,158.53,153.15,6.68,2023-12-12 18:00:00
5,Milan,4806.52,45.464,9.19,11.53,227.09,85,179.61,174.34,7.51,2023-12-12 19:00:00
5,Milan,5340.58,45.464,9.19,10.64,261.07,85.68,200.58,195.48,8.11,2023-12-12 20:00:00
5,Milan,5874.63,45.464,9.19,10.64,289.68,89.11,221.1,216,8.82,2023-12-12 21:00:00
5,Milan,5126.95,45.464,9.19,8.23,243.19,87.74,190.64,186.52,6.97,2023-12-12 22:00:00
5,Milan,4806.52,45.464,9.19,5.89,227.09,82.94,175.85,172.5,5.13,2023-12-12 23:00:00
5,Milan,4539.49,45.464,9.19,4.75,214.58,78.14,166.08,163.43,3.93,2023-12-13 00:00:00
5,Milan,4219.06,45.464,9.19,4.37,198.48,71.97,153.33,151.24,3.31,2023-12-13 01:00:00
5,Milan,4058.84,45.464,9.19,4.18,189.54,68.55,146.47,144.59,2.98,2023-12-13 02:00:00
5,Milan,4219.06,45.464,9.19,3.93,200.27,69.23,152.14,150.21,2.77,2023-12-13 03:00:00
5,Milan,4432.68,45.464,9.19,3.61,216.36,70.6,163.04,160.99,2.59,2023-12-13 04:00:00
5,Milan,4272.46,45.464,9.19,3.48,205.64,66.49,155.64,153.86,2.35,2023-12-13 05:00:00
5,Milan,3631.59,45.464,9.19,4.37,164.51,56.89,129.22,127.7,2.71,2023-12-13 06:00:00
5,Milan,2910.61,45.464,9.19,4.81,123.38,47.3,100.67,99.29,3.1,2023-12-13 07:00:00
5,Milan,2803.8,45.464,9.19,5.32,121.59,42.84,94.84,93.28,3.78,2023-12-13 08:00:00
5,Milan,3177.64,45.464,9.19,5.95,144.84,42.5,106.65,104.75,4.59,2023-12-13 09:00:00
5,Milan,2910.61,45.464,9.19,5.13,128.75,43.18,96.91,94.89,3.93,2023-12-13 10:00:00
5,Milan,2830.51,45.464,9.19,5,126.96,44.55,94.49,92.21,3.81,2023-12-13 11:00:00
5,Milan,3017.43,45.464,9.19,5.07,135.9,48.67,100.71,98.13,3.93,2023-12-13 12:00:00
4,Milan,2189.64,45.464,9.19,4.02,76.89,55.52,76.7,74.53,2.89,2023-12-13 13:00:00
4,Milan,1695.63,45.464,9.19,4.05,46.49,54.84,62.25,60.22,2.56,2023-12-13 14:00:00
